ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
AMOT,46129,AMOT,Allied Motion Technologies Inc,Industrials,Common stocks,Small cap,2.7,46.3
JCIC,1822312,JCIC,Jack Creek Investment Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
SCOB,1838431,SCOB,ScION Tech Growth II Class A,Financials,Common stocks,Unknown,2.7,46.3
FLIC,740663,FLIC,First Of Long Island Corp,Financials,Common stocks,Small cap,2.7,46.3
GTX,1735707,GTX,Garrett Motion Inc.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
LXFR,1096056,LXFR,Luxfer Holdings PLC,Industrials,Common stocks,Small cap,2.7,46.3
TRC,96869,TRC,Tejon Ranch,Real Estate,Common stocks,Small cap,0.6,46.3
TWNI,1835881,TWNI,Tailwind International Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
ONTF,1110611,ONTF,ON24 INC,Information Technology,Common stocks,Small cap,5.8,46.3
IBCP,39311,IBCP,Independent Bank Corp,Financials,Common stocks,Small cap,2.7,46.3
GIIX,1841080,GIIX,"Gores Holdings VIII, Inc. Class A",Financials,Common stocks,Unknown,2.7,46.3
TNXP,1430306,TNXP,Tonix Pharmaceuticals Holding Corp,Health Care,Common stocks,Micro cap,2.8,46.3
CNTA,1847903,CNTA,Centessa Pharmaceuticals Ltd ADRs,Health Care,ADRs,Small cap,2.8,46.3
FACT,1838987,FACT,Freedom Acquisition I Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
GLBL,1838615,GLBL,Cartesian Growth Corporation Class A,Financials,Common stocks,Small cap,2.7,46.3
LEGA,1834628,LEGA,"Lead Edge Growth Opportunities, Ltd Class A",Financials,Common stocks,Unknown,2.7,46.3
ROSS,1841610,ROSS,Ross Acquisition Corp II Class A,Financials,Common stocks,Small cap,2.7,46.3
GSQD,1837207,GSQD,G Squared Ascend I Inc. Class A,Financials,Common stocks,Small cap,2.7,46.3
DHHC,1830188,DHHC,DiamondHead Holdings Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
TNP,1166663,TNP,Tsakos Energy Navigation Ltd,Industrials,Common stocks,Small cap,2.7,46.3
TIOA,1846163,TIOA,Tio Tech A Class A,Financials,Common stocks,Small cap,2.7,46.3
HCIC,1829455,HCIC,Hennessy Capital Investment Corp. V  - Class A,Financials,Common stocks,Unknown,2.7,46.3
OEPW,1824677,OEPW,One Equity Partners Open Water I Corp. Class A,Financials,Common stocks,Unknown,2.7,46.3
WSBF,1569994,WSBF,Waterstone Financial Inc,Financials,Common stocks,Small cap,2.7,46.3
RXRA,1840463,RXRA,RXR Acquisition Corp. Class A,Financials,Common stocks,Unknown,2.7,46.3
REPX,1001614,REPX,"Riley Exploration Permian, Inc.",Energy,Common stocks,Small cap,2.2,46.3
OFIX,884624,OFIX,Orthofix International Nv,Health Care,Common stocks,Small cap,2.8,46.3
MITK,807863,MITK,Mitek Systems Inc,Information Technology,Common stocks,Small cap,5.8,46.3
ACII,1838614,ACII,Atlas Crest Investment Corp. II Class A,Financials,Common stocks,Small cap,2.7,46.3
VTRU,1805012,VTRU,Vitru Ltd,Consumer Staples,Common stocks,Small cap,2.6,46.3
GATE,1838513,GATE,Marblegate Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
GNTY,1058867,GNTY,Guaranty Bancshares Inc,Financials,Common stocks,Small cap,2.7,46.3
SOL,1417892,SOL,ReneSola Ltd. ADRs,Industrials,ADRs,Micro cap,2.7,46.3
SPGS,1839127,SPGS,"Simon Property Group Acquisition Holdings, Inc. Class A",Financials,Common stocks,Small cap,2.7,46.3
SLAC,1834755,SLAC,Social Leverage Acquisition Corp I Class A,Financials,Common stocks,Small cap,2.7,46.3
COLI,1829615,COLI,Colicity Inc. Class A,Financials,Common stocks,Unknown,2.7,46.3
ACAH,1836274,ACAH,Atlantic Coastal Acquisition Corp. - Class A,Financials,Common stocks,Small cap,2.7,46.3
PTOC,1838238,PTOC,Pine Technology Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
SCLE,1838697,SCLE,Broadscale Acquisition Corp. Class A,Financials,Common stocks,Unknown,2.7,46.3
MYPS,1823878,MYPS,"PLAYSTUDIOS, Inc.  - Class A",Communication Services,Common stocks,Small cap,1.6,46.3
MACC,1840148,MACC,Mission Advancement Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
IMAB,1778016,IMAB,I-MAB ADRs,Health Care,ADRs,Micro cap,2.8,46.3
ATRA,1604464,ATRA,Atara Biotherapeutics Inc,Health Care,Common stocks,Micro cap,2.8,46.3
FMIV,1842916,FMIV,Forum Merger IV Corporation Class A,Financials,Common stocks,Small cap,2.7,46.3
QSI,1816431,QSI,Quantum-Si Incorporated - Class A,Health Care,Common stocks,Micro cap,2.8,46.3
CALT,1795579,CALT,Calliditas Therapeutics AB ADRs,Health Care,ADRs,Small cap,2.8,46.3
TRTL,1847112,TRTL,TortoiseEcofin Acquisition Corp. III Class A,Financials,Common stocks,Small cap,2.7,46.3
HUMA,1818382,HUMA,"Humacyte, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
VLN,1863006,VLN,Valens Semiconductor Ltd.,Information Technology,Common stocks,Small cap,5.8,46.3
