symbol,description,gics_sector,equity_securities,cap_size
XEL,Xcel Energy Inc,Utilities,Common stocks,Large cap
ED,Consolidated Edison Inc,Utilities,Common stocks,Large cap
PCG,Pacific Gas & Electric Co.,Utilities,Common stocks,Large cap
WEC,WEC Energy Group Inc,Utilities,Common stocks,Large cap
ES,Eversource Energy,Utilities,Common stocks,Large cap
EIX,Edison International,Utilities,Common stocks,Large cap
AEE,Ameren Corp,Utilities,Common stocks,Large cap
DTE,DTE Energy,Utilities,Common stocks,Large cap
FTS,Fortis Inc.,Utilities,Common stocks,Large cap
PPL,PPL Corporation,Utilities,Common stocks,Large cap
CMS,CMS Energy Corp,Utilities,Common stocks,Large cap
AGR,Avangrid Inc,Utilities,Common stocks,Large cap
EBR,Centrais Eletricas Brasileiras ADRs,Utilities,ADRs,Large cap
EBR.B,Centrais Electricas Brasileiras S.A. ADRs of Preferred Shares,Utilities,ADRs,Large cap
EVRG,Evergy Inc,Utilities,Common stocks,Large cap
LNT,Alliant Energy Corp,Utilities,Common stocks,Large cap
ENIA,Enel Americas SA ADRs,Utilities,ADRs,Large cap
KEP,Korea Electric Power Corp ADRs,Utilities,ADRs,Mid cap
PNW,Pinnacle West Corp,Utilities,Common stocks,Mid cap
OGE,OGE Energy Corp,Utilities,Common stocks,Mid cap
IDA,"IDACORP, Inc.",Utilities,Common stocks,Mid cap
POR,Portland General Electric,Utilities,Common stocks,Mid cap
HE,Hawaiian Electric Industries Inc,Utilities,Common stocks,Mid cap
ENIC,Enel Chile ADRs,Utilities,ADRs,Mid cap
PNM,PNM Resources Inc,Utilities,Common stocks,Small cap
KEN,Kenon Holdings Ltd.,Utilities,Common stocks,Small cap
PAM,Pampa Energia ADRs,Utilities,ADRs,Small cap
CEPU,Central Puerto S.A. ADRs,Utilities,ADRs,Small cap
GNE,Genie Energy Ltd Class B,Utilities,Common stocks,Micro cap
VIA,"Via Renewables, Inc. - Class A",Utilities,Common stocks,Micro cap
EDN,Edenor ADRs,Utilities,ADRs,Micro cap
VST,Vistra Energy Corp,Utilities,Common stocks,Mid cap
NRG,NRG Energy Inc,Utilities,Common stocks,Mid cap
HNP,Huaneng Power International Inc ADRs,Utilities,ADRs,Mid cap
TAC,TransAlta Corporation,Utilities,Common stocks,Mid cap
WAVE,Eco Wave Power Global AB ADRs,Utilities,ADRs,Micro cap
NGG,National Grid ADRs,Utilities,ADRs,Large cap
SRE,Sempra Energy,Utilities,Common stocks,Large cap
D,Dominion Energy Inc,Utilities,Common stocks,Large cap
EXC,Exelon Corp,Utilities,Common stocks,Large cap
PEG,Public Service Enterprise Group Inc,Utilities,Common stocks,Large cap
FE,Firstenergy Corp,Utilities,Common stocks,Large cap
ETR,Entergy Corp,Utilities,Common stocks,Large cap
AES,AES Corp,Utilities,Common stocks,Large cap
BIP,Brookfield Infrastructure Partners LP,Utilities,MLPs,Large cap
CIG,Companhia Energetica de Minas Gerais-CEMIG ADRs,Utilities,ADRs,Mid cap
CIG.C,Comp En De Mn Cemig ADRs,Utilities,ADRs,Mid cap
SJI,"South Jersey Industries, Inc.",Utilities,Common stocks,Mid cap
BKH,Black Hills Corp,Utilities,Common stocks,Mid cap
ALE,Allete Inc,Utilities,Common stocks,Mid cap
NWE,Northwestern Corp,Utilities,Common stocks,Mid cap
