Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions
SAM,Boston Beer Inc Class A,Consumer Staples,US Equity,Common stocks,Mid cap,"$3,277,623,179","124,758",Analyze
CCU,Compania Cervecerias Unidas SA ADRs,Consumer Staples,US Equity,ADRs,Mid cap,"$2,701,065,994","161,084",Analyze
SBEV,Splash Beverage Group Inc,Consumer Staples,US Equity,Common stocks,Micro cap,"$58,322,497","173,960",Analyze
KO,Coca-Cola,Consumer Staples,US Equity,Common stocks,Large cap,"$259,232,228,017","16,057,313",Analyze
PEP,Pepsico Inc,Consumer Staples,US Equity,Common stocks,Large cap,"$241,925,319,151","4,806,729",Analyze
MNST,Monster Beverage Corp,Consumer Staples,US Equity,Common stocks,Large cap,"$53,489,494,166","2,339,961",Analyze
KDP,Keurig Dr Pepper Inc.,Consumer Staples,US Equity,Common stocks,Large cap,"$47,973,912,321","10,381,965",Analyze
CCEP,Coca-Cola European Partners Plc,Consumer Staples,US Equity,Common stocks,Large cap,"$25,890,546,813","1,418,061",Analyze
CELH,Celsius Holdings Inc.,Consumer Staples,US Equity,Common stocks,Mid cap,"$6,817,706,961","1,346,407",Analyze
FIZZ,National Beverage Corp,Consumer Staples,US Equity,Common stocks,Mid cap,"$4,705,922,008","209,007",Analyze
COKE,Coca Cola Bottling,Consumer Staples,US Equity,Common stocks,Mid cap,"$4,309,278,186","60,518",Analyze
KOF,Coca-Cola Femsa ADRs of Series L Shares,Consumer Staples,US Equity,ADRs,Mid cap,"$4,041,472,867","194,876",Analyze
PRMW,Primo Water Corp,Consumer Staples,US Equity,Common stocks,Mid cap,"$2,284,974,149","913,041",Analyze
AKO.A,Embotelladora Andina ADRs of A Shares,Consumer Staples,US Equity,ADRs,Mid cap,"$2,169,885,022","2,300",Analyze
AKO.B,Embotelladora Andina ADRs of B Shares,Consumer Staples,US Equity,ADRs,Mid cap,"$2,169,885,022","24,422",Analyze
OTLY,Oatly Group AB ADRs,Consumer Staples,US Equity,ADRs,Small cap,"$1,421,193,600","5,510,323",Analyze
COCO,"Vita Coco Company, Inc.",Consumer Staples,US Equity,Common stocks,Small cap,"$1,036,883,135","303,370",Analyze
ZVIA,Zevia PBC,Consumer Staples,US Equity,Common stocks,Micro cap,"$160,262,170","105,144",Analyze
NBEV,New Age Beverages Corp,Consumer Staples,US Equity,Common stocks,Micro cap,"$55,304,456","49,119,326",Analyze
REED,Reeds Inc,Consumer Staples,US Equity,Common stocks,Micro cap,"$21,744,654","11,049",Analyze
WTER,The Alkaline Water Company Inc.,Consumer Staples,US Equity,Common stocks,Micro cap,"$21,402,142","1,315,620",Analyze
